Samples per Second	1
UTC Date	UTC Time	Sample	CH0S001 (1536,229 ; x)	CH0S002 (1544,722 ; x)	CH0S003 (1556,117 ; x)	CH0S004 (1561,810 ; x)	CH1S001 (1536,447 ; x)	CH1S002 (1544,995 ; x)	CH1S003 (1556,405 ; x)	CH1S004 (1562,132 ; x)
09-11-2023	12:55:27	00001	-0,0538	0,1273	-0,1830		0,0684	-0,0192	0,1137	0,0265
09-11-2023	12:55:28	00002	-0,0540	0,1278	-0,1836		0,0682	-0,0180	0,1143	0,0258
09-11-2023	12:55:29	00003	-0,0546	0,1271	-0,1840		0,0689	-0,0198	0,1119	0,0257
09-11-2023	12:55:30	00004	-0,0551	0,1268	-0,1849		0,0672	-0,0215	0,1121	0,0241
09-11-2023	12:55:31	00005	-0,0551	0,1271	-0,1847		0,0681	-0,0229	0,1129	0,0243
09-11-2023	12:55:32	00006	-0,0556	0,1267	-0,1853		0,0674	-0,0216	0,1119	0,0245
09-11-2023	12:55:33	00007	-0,0561	0,1275	-0,1857	0,0949	0,0675	-0,0218	0,1127	0,0236
09-11-2023	12:55:34	00008	-0,0557	0,1271	-0,1865	0,0944	0,0677	-0,0224	0,1114	0,0238
09-11-2023	12:55:35	00009	-0,0562	0,1265	-0,1862	0,0941	0,0671	-0,0226	0,1115	0,0228
09-11-2023	12:55:36	00010	-0,0574	0,1268	-0,1882	0,0945	0,0668	-0,0247	0,1115	0,0224
09-11-2023	12:55:37	00011	-0,0572	0,1261	-0,1869	0,0949	0,0676	-0,0240	0,1114	0,0221
09-11-2023	12:55:38	00012	-0,0573	0,1267	-0,1882	0,0932	0,0661	-0,0249	0,1122	0,0212
09-11-2023	12:55:39	00013	-0,0576	0,1274	-0,1878	0,0953	0,0674	-0,0241	0,1109	0,0224
09-11-2023	12:55:40	00014	-0,0577	0,1262	-0,1886	0,0933	0,0668	-0,0248	0,1109	0,0211
09-11-2023	12:55:41	00015	-0,0576	0,1266	-0,1899	0,0938	0,0666	-0,0257	0,1114	0,0213
09-11-2023	12:55:42	00016	-0,0587	0,1274	-0,1899	0,0948	0,0659	-0,0261	0,1101	0,0198
09-11-2023	12:55:43	00017	-0,0590	0,1265	-0,1903	0,0934	0,0667	-0,0269	0,1103	0,0196
09-11-2023	12:55:44	00018	-0,0589	0,1262	-0,1907	0,0937	0,0653	-0,0280	0,1113	0,0201
09-11-2023	12:55:45	00019	-0,0585	0,1267	-0,1909	0,0957	0,0664	-0,0273	0,1110	0,0196
09-11-2023	12:55:46	00020	-0,0597	0,1261	-0,1912	0,0929	0,0648	-0,0273	0,1106	0,0197
09-11-2023	12:55:47	00021	-0,0599	0,1265	-0,1912	0,0939	0,0656	-0,0283	0,1114	0,0185
09-11-2023	12:55:48	00022	-0,0605	0,1255	-0,1919	0,0942	0,0651	-0,0286	0,1098	0,0182
09-11-2023	12:55:49	00023	-0,0534	0,1252	-0,2022		0,0671	-0,0241	0,1099	0,0165
09-11-2023	12:55:50	00024	-0,0498	0,1263	-0,1987		0,0669	-0,0201	0,1126	0,0232
09-11-2023	12:55:51	00025	-0,0501	0,1260	-0,1992		0,0677	-0,0204	0,1110	0,0240
09-11-2023	12:55:52	00026	-0,0507	0,1264	-0,1990		0,0664	-0,0212	0,1101	0,0226
09-11-2023	12:55:53	00027	-0,0511	0,1262	-0,1991		0,0673	-0,0213	0,1103	0,0228
09-11-2023	12:55:54	00028	-0,0507	0,1277	-0,1988		0,0662	-0,0206	0,1106	0,0230
09-11-2023	12:55:55	00029	-0,0511	0,1272	-0,2001		0,0657	-0,0228	0,1108	0,0219
09-11-2023	12:55:56	00030	-0,0506	0,1265	-0,1997		0,0671	-0,0223	0,1105	0,0228
09-11-2023	12:55:57	00031	-0,0505	0,1274	-0,1999		0,0669	-0,0219	0,1105	0,0219
09-11-2023	12:55:58	00032	-0,0514	0,1269	-0,2006		0,0655	-0,0205	0,1101	0,0226
09-11-2023	12:55:59	00033	-0,0513	0,1262	-0,2001		0,0660	-0,0229	0,1101	0,0216
09-11-2023	12:56:00	00034	-0,0512	0,1276	-0,2011		0,0656	-0,0214	0,1109	0,0220
09-11-2023	12:56:01	00035	-0,0512	0,1271	-0,2005		0,0663	-0,0228	0,1088	0,0224
09-11-2023	12:56:02	00036	-0,0519	0,1267	-0,1994		0,0657	-0,0229	0,1100	0,0208
09-11-2023	12:56:03	00037	-0,0513	0,1261	-0,2017		0,0662	-0,0239	0,1084	0,0209
09-11-2023	12:56:04	00038	-0,0514	0,1265	-0,2008		0,0656	-0,0231	0,1096	0,0211
09-11-2023	12:56:05	00039	-0,0532	0,1259	-0,2020		0,0653	-0,0227	0,1089	0,0213
09-11-2023	12:56:06	00040	-0,0525	0,1260	-0,2018	0,0943	0,0652	-0,0242	0,1086	0,0211
09-11-2023	12:56:07	00041	-0,0524	0,1256	-0,2023	0,0949	0,0647	-0,0256	0,1091	0,0195
09-11-2023	12:56:08	00042	-0,0525	0,1265	-0,2025		0,0659	-0,0256	0,1089	0,0209
09-11-2023	12:56:09	00043	-0,0531	0,1270	-0,2023	0,0950	0,0659	-0,0242	0,1089	0,0193
09-11-2023	12:56:10	00044	-0,0529	0,1262	-0,2021		0,0650	-0,0252	0,1074	0,0199
09-11-2023	12:56:11	00045	-0,0529	0,1267	-0,2029		0,0667	-0,0256	0,1085	0,0197
09-11-2023	12:56:12	00046	-0,0531	0,1264	-0,2028		0,0651	-0,0246	0,1086	0,0195
09-11-2023	12:56:13	00047	-0,0533	0,1263	-0,2031		0,0644	-0,0266	0,1081	0,0199
09-11-2023	12:56:14	00048	-0,0531	0,1269	-0,2034		0,0647	-0,0250	0,1080	0,0192
09-11-2023	12:56:15	00049	-0,0535	0,1249	-0,2039		0,0651	-0,0260	0,1067	0,0191
09-11-2023	12:56:16	00050	-0,0541	0,1261	-0,2051		0,0653	-0,0269	0,1073	0,0184
09-11-2023	12:56:17	00051	-0,0531	0,1267	-0,2020	0,0944	0,0657	-0,0259	0,1084	0,0191
09-11-2023	12:56:18	00052	-0,0538	0,1263	-0,2047		0,0646	-0,0269	0,1077	0,0181
09-11-2023	12:56:19	00053	-0,0535	0,1179	-0,1964		0,0897	0,0424	0,1033	0,0191
09-11-2023	12:56:20	00054	0,2732	0,4588	0,3140	0,6665	0,2307	0,5153	0,2849	0,2787
09-11-2023	12:56:21	00055	0,2170	0,3688	-0,2859	0,2801	0,1127	0,2471	-0,0180	-0,0982
09-11-2023	12:56:22	00056	-0,5028	0,2375	-0,1297	0,1089	0,1866	0,2859	0,2928	0,1756
09-11-2023	12:56:23	00057	-0,2882	-0,0516	-0,1003	-0,1270	-0,0751	-0,1050	-0,0269	-0,1343
09-11-2023	12:56:24	00058	-0,2876	-0,0351	-0,0981	-0,1112	-0,0676	-0,1270	-0,0152	-0,1577
09-11-2023	12:56:25	00059	-0,2853	-0,0251	-0,0959	-0,1036	-0,0619	-0,1351	-0,0107	-0,1617
09-11-2023	12:56:26	00060	-0,2844	-0,0200	-0,0944	-0,0976	-0,0595	-0,1388	-0,0062	-0,1645
09-11-2023	12:56:27	00061	-0,2849	-0,0161	-0,0944	-0,0956	-0,0584	-0,1413	-0,0059	-0,1658
09-11-2023	12:56:28	00062	-0,2866	-0,0147	-0,0945	-0,0955	-0,0570	-0,1445	-0,0041	-0,1680
09-11-2023	12:56:29	00063	-0,2860	-0,0115	-0,0924	-0,0936	-0,0567	-0,1466	-0,0028	-0,1689
09-11-2023	12:56:30	00064	-0,2865	-0,0104	-0,0931	-0,0929	-0,0549	-0,1482	-0,0009	-0,1699
09-11-2023	12:56:31	00065	-0,2877	-0,0112	-0,0926	-0,0920	-0,0549	-0,1485	-0,0017	-0,1701
09-11-2023	12:56:32	00066	-0,2892	-0,0093	-0,0923	-0,0927	-0,0536	-0,1503	-0,0012	-0,1697
09-11-2023	12:56:33	00067	-0,2879	-0,0082	-0,0926	-0,0914	-0,0534	-0,1510	0,0000	-0,1714
09-11-2023	12:56:34	00068	-0,2888	-0,0054	-0,0911	-0,0917	-0,0528	-0,1503	0,0001	-0,1695
09-11-2023	12:56:35	00069	-0,2889	-0,0077	-0,0927	-0,0911	-0,0523	-0,1533	0,0005	-0,1715
09-11-2023	12:56:36	00070	-0,2899	-0,0059	-0,0928	-0,0926	-0,0531	-0,1518	0,0005	-0,1717
09-11-2023	12:56:37	00071	-0,2920	-0,0069	-0,0924	-0,0920	-0,0517	-0,1539	0,0014	-0,1736
09-11-2023	12:56:38	00072	-0,2905	-0,0055	-0,0920	-0,0921	-0,0523	-0,1535	0,0006	-0,1733
09-11-2023	12:56:39	00073	-0,2924	-0,0063	-0,0923	-0,0916	-0,0529	-0,1545	0,0008	-0,1721
09-11-2023	12:56:40	00074	-0,2918	-0,0059	-0,0916	-0,0922	-0,0517	-0,1554	0,0010	-0,1734
09-11-2023	12:56:41	00075	-0,2931	-0,0060	-0,0926	-0,0915	-0,0519	-0,1553	0,0009	-0,1735
09-11-2023	12:56:42	00076	-0,2917	-0,0055	-0,0922	-0,0919	-0,0530	-0,1562	0,0017	-0,1745
09-11-2023	12:56:43	00077	-0,2941	-0,0046	-0,0923	-0,0922	-0,0523	-0,1569	0,0014	-0,1738
09-11-2023	12:56:44	00078	-0,2924	-0,0049	-0,0930	-0,0918	-0,0521	-0,1564	0,0007	-0,1741
09-11-2023	12:56:45	00079	-0,2944	-0,0049	-0,0921	-0,0925	-0,0530	-0,1579	0,0012	-0,1749
09-11-2023	12:56:46	00080	-0,2930	-0,0044	-0,0929	-0,0927	-0,0522	-0,1573	0,0017	-0,1748
09-11-2023	12:56:47	00081	-0,2948	-0,0036	-0,0924	-0,0925	-0,0524	-0,1584	0,0011	-0,1763
09-11-2023	12:56:48	00082	-0,2949	-0,0039	-0,0929	-0,0935	-0,0514	-0,1574	0,0018	-0,1753
09-11-2023	12:56:49	00083	-0,2954	-0,0052	-0,0925	-0,0927	-0,0521	-0,1591	0,0010	-0,1764
09-11-2023	12:56:50	00084	-0,2957	-0,0041	-0,0930	-0,0932	-0,0521	-0,1578	0,0000	-0,1755
09-11-2023	12:56:51	00085	-0,2963	-0,0050	-0,0929	-0,0935	-0,0523	-0,1592	0,0009	-0,1774
09-11-2023	12:56:52	00086	-0,2967	-0,0043	-0,0932	-0,0938	-0,0534	-0,1608	0,0006	-0,1757
09-11-2023	12:56:53	00087	-0,2965	-0,0044	-0,0935	-0,0935	-0,0529	-0,1603	0,0012	-0,1773
09-11-2023	12:56:54	00088	-0,2973	-0,0049	-0,0933	-0,0938	-0,0523	-0,1612	-0,0001	-0,1763
09-11-2023	12:56:55	00089	-0,2977	-0,0046	-0,0929	-0,0935	-0,0531	-0,1607	0,0006	-0,1781
09-11-2023	12:56:56	00090	-0,2983	-0,0043	-0,0938	-0,0946	-0,0518	-0,1614	0,0012	-0,1768
09-11-2023	12:56:57	00091	-0,2969	-0,0040	-0,0929	-0,0945	-0,0524	-0,1605	0,0015	-0,1788
09-11-2023	12:56:58	00092	-0,2981	-0,0040	-0,0930	-0,0946	-0,0518	-0,1613	0,0010	-0,1778
09-11-2023	12:56:59	00093	-0,2993	-0,0041	-0,0934	-0,0943	-0,0525	-0,1616	0,0006	-0,1789
09-11-2023	12:57:00	00094	-0,2982	-0,0044	-0,0945	-0,0946	-0,0529	-0,1622	0,0007	-0,1780
09-11-2023	12:57:01	00095	-0,3000	-0,0038	-0,0936	-0,0953	-0,0525	-0,1616	0,0001	-0,1789
09-11-2023	12:57:02	00096	-0,2999	-0,0050	-0,0941	-0,0952	-0,0535	-0,1633	0,0003	-0,1806
09-11-2023	12:57:03	00097	-0,2999	-0,0041	-0,0941	-0,0954	-0,0538	-0,1624	-0,0001	-0,1800
09-11-2023	12:57:04	00098	-0,3000	-0,0038	-0,0937	-0,0956	-0,0536	-0,1634	0,0011	-0,1807
09-11-2023	12:57:05	00099	-0,3006	-0,0034	-0,0937	-0,0953	-0,0535	-0,1624	0,0006	-0,1795
09-11-2023	12:57:06	00100	-0,3003	-0,0043	-0,0943	-0,0955	-0,0533	-0,1640	0,0008	-0,1800
09-11-2023	12:57:07	00101	-0,3020	-0,0033	-0,0937	-0,0953	-0,0531	-0,1626	0,0014	-0,1794
09-11-2023	12:57:08	00102	-0,3014	-0,0040	-0,0947	-0,0965	-0,0536	-0,1627	0,0008	-0,1809
09-11-2023	12:57:09	00103	-0,3026	-0,0040	-0,0941	-0,0960	-0,0533	-0,1630	-0,0008	-0,1809
09-11-2023	12:57:10	00104	-0,3004	-0,0048	-0,0943	-0,0957	-0,0530	-0,1635	0,0006	-0,1807
09-11-2023	12:57:11	00105	-0,3034	-0,0038	-0,0937	-0,0959	-0,0534	-0,1646	0,0001	-0,1808
09-11-2023	12:57:12	00106	-0,3013	-0,0045	-0,0942	-0,0962	-0,0536	-0,1645	0,0006	-0,1814
09-11-2023	12:57:13	00107	-0,3017	-0,0041	-0,0949	-0,0961	-0,0540	-0,1653	0,0001	-0,1809
