Samples per Second	1
UTC Date	UTC Time	Sample	CH0S001 (1536,409 ; x)	CH0S002 (1544,961 ; x)	CH0S003 (1556,226 ; x)	CH0S004 (1562,157 ; x)	CH1S001 (1553,011 ; x)	CH1S002 (1554,304 ; x)
16-11-2023	11:15:16	00001	0,1220	0,0082	0,1429	-0,0302	-998,0000	-998,0000
16-11-2023	11:15:17	00002	0,1237	0,0042	0,1431	-0,0266	-998,0000	-998,0000
16-11-2023	11:15:18	00003	0,1247	0,0031	0,1430	-0,0262	-998,0000	-998,0000
16-11-2023	11:15:19	00004	0,1256	0,0008	0,1433	-0,0232	-998,0000	-998,0000
16-11-2023	11:15:20	00005	-0,1378	0,0179	-0,0440	-0,0719	-998,0000	-998,0000
16-11-2023	11:15:21	00006	-1,2946	-0,1114	-1,1653	-0,7285	-998,0000	-998,0000
16-11-2023	11:15:22	00007	-1,0868	-0,2387	-998,0000	-1,0451	-998,0000	-998,0000
16-11-2023	11:15:23	00008	-0,5512	-0,3789	0,9630	-0,5390	-998,0000	-998,0000
16-11-2023	11:15:24	00009	-0,3673	-0,4344	1,1978	-0,4682	-998,0000	-998,0000
16-11-2023	11:15:25	00010	-998,0000	-0,3646	-1,2639	-1,3410	-998,0000	-998,0000
16-11-2023	11:15:26	00011	0,8130	0,1386	0,3798	0,2643	-998,0000	-998,0000
16-11-2023	11:15:27	00012	1,0035	0,3817	0,1570	-998,0000	-998,0000	-998,0000
16-11-2023	11:15:28	00013	-998,0000	0,4003	-0,0233	0,9244	-998,0000	-998,0000
16-11-2023	11:15:29	00014	-998,0000	0,5097	-0,0325	1,2902	-998,0000	-998,0000
16-11-2023	11:15:30	00015	-998,0000	0,5624	-0,0162	1,2803	-998,0000	-998,0000
16-11-2023	11:15:31	00016	-998,0000	0,5268	-0,1613	1,3271	-998,0000	-998,0000
16-11-2023	11:15:32	00017	-0,2836	0,3320	-0,8390	0,7543	-998,0000	-998,0000
16-11-2023	11:15:33	00018	-1,0631	-0,1367	-1,1644	-1,0210	-998,0000	-998,0000
16-11-2023	11:15:34	00019	-0,1883	-0,2199	-0,6252	-998,0000	-998,0000	-998,0000
16-11-2023	11:15:35	00020	-0,1715	-0,2337	-0,5715	-998,0000	-998,0000	-998,0000
16-11-2023	11:15:36	00021	-0,2241	-0,2499	-0,4626	-998,0000	-998,0000	-998,0000
16-11-2023	11:15:37	00022	-1,0504	-0,2456	-0,4588	-998,0000	-998,0000	-998,0000
16-11-2023	11:15:38	00023	-1,2716	-0,2470	-0,2498	-1,2756	-998,0000	-998,0000
16-11-2023	11:15:39	00024	-1,3362	-0,2441	-0,2258	-998,0000	-998,0000	-998,0000
16-11-2023	11:15:40	00025	-0,1699	-0,2678	-0,3119	-998,0000	-998,0000	-998,0000
16-11-2023	11:15:41	00026	-1,3708	-0,2585	-0,1996	-1,2384	-998,0000	-998,0000
16-11-2023	11:15:42	00027	-1,2136	-0,3255	0,0287	-1,1455	-998,0000	-998,0000
16-11-2023	11:15:43	00028	-0,0297	0,0411	0,2522	1,0761	-998,0000	-998,0000
16-11-2023	11:15:44	00029	-998,0000	0,1585	-0,0607	-998,0000	-998,0000	-998,0000
16-11-2023	11:15:45	00030	0,9853	0,6108	-0,1680	0,9434	-998,0000	-998,0000
16-11-2023	11:15:46	00031	0,7311	0,6257	-0,1423	0,9463	-998,0000	-998,0000
16-11-2023	11:15:47	00032	0,7781	0,6447	-0,1029	0,9236	-998,0000	-998,0000
16-11-2023	11:15:48	00033	0,7997	0,6418	0,0527	0,9784	-998,0000	-998,0000
