Samples per Second	1
UTC Date	UTC Time	Sample	Temperature Sensor (1556.992 ; x)	Sensor 1 (1536.027 ; x)	Sensor 2 (1537.155 ; x)	Sensor 3 (1544.684 ; x)	Sensor 4 (1545.751 ; x)	Sensor 5 (1556.194 ; x)	Sensor 6 (1557.406 ; x)	Sensor 7 (1561.264 ; x)	Sensor 8 (1562.358 ; x)
21-08-2023	10:55:32	00001	-0.0079	0.0340	0.2230	0.0875	0.2192	-0.0298	-0.6202	-0.1561	0.0484
21-08-2023	10:55:33	00002	-0.0077	0.0339	0.2216	0.0878	0.2201	-0.0299	-0.6207	-0.1550	0.0479
21-08-2023	10:55:34	00003	-0.0147	0.0351	0.2230	0.0878	0.2188	-0.0252	-0.6205	-0.1554	0.0477
21-08-2023	10:55:35	00004	-0.0112	0.0346	0.2221	0.0893	0.2176	-0.0321	-0.6211	-0.1504	0.0493
21-08-2023	10:55:36	00005	-0.0108	0.0347	0.2218	0.0914	0.2188	-0.0365	-0.6198	-0.1515	0.0495
21-08-2023	10:55:37	00006	-0.0104	0.0346	0.2215	0.0915	0.2187	-0.0371	-0.6207	-0.1509	0.0502
21-08-2023	10:55:38	00007	-0.0111	0.0576	0.1202	0.1076	0.1119	-0.0994	-0.4919	-0.0402	0.0918
21-08-2023	10:55:39	00008	-0.0103	0.0336	0.1050	0.3400	0.0070	-0.0675	0.0887	0.1984	0.0557
21-08-2023	10:55:40	00009	-0.0101	0.0303	0.0734	0.2959	0.1041	-0.0623	0.1588	0.2521	0.0523
21-08-2023	10:55:41	00010	-0.0108	0.0293	-0.0538	0.1149	-0.1046	-0.0661	0.0269	0.0861	0.0710
21-08-2023	10:55:42	00011	-0.0090	0.0415	0.0403	0.1472	0.0498	-0.0658	-0.0783	0.0021	0.1194
21-08-2023	10:55:43	00012	-0.0097	0.0369	0.1350	0.1019	0.1300	-0.0549	-0.3099	-0.0764	0.1328
21-08-2023	10:55:44	00013	-0.0106	0.0236	0.1279	0.1205	0.0481	-0.0605	-0.4109	-0.1339	0.1523
21-08-2023	10:55:45	00014	-0.0101	0.0339	0.2209	0.1083	0.1826	-0.0475	-0.5293	-0.1357	0.0525
21-08-2023	10:55:46	00015	-0.0100	0.0350	0.2643	0.1032	0.2263	-0.0710	-0.6539	-0.1293	0.0675
21-08-2023	10:55:47	00016	-0.0101	0.0154	0.2919	0.0666	0.3153	-0.1004	-0.7473	-0.1994	0.0571
21-08-2023	10:55:48	00017	-0.0098	0.0564	0.4140	0.0901	0.5046	-0.2234	-0.8072	-0.2090	0.1498
21-08-2023	10:55:49	00018	-0.0100	0.0233	0.3969	0.0620	0.6126	-0.3350	-0.7941	-0.3487	-1.2600
21-08-2023	10:55:50	00019	-0.0109	0.0516	0.3777	0.0653	0.6668	-0.0720	-0.7787	-0.3671	-1.2841
21-08-2023	10:55:51	00020	-0.0105	-0.0206	0.3660	0.0050	0.6047	-0.3593	-0.8597	-0.1966	-0.2405
21-08-2023	10:55:52	00021	-0.0096	0.0150	0.4461	0.1549	0.6703	-0.2130	-0.8978	-0.3350	-1.2438
21-08-2023	10:55:53	00022	-0.0107	0.0358	0.4159	0.0990	0.6405	-0.0731	-0.9064	-0.3304	-1.2384
21-08-2023	10:55:54	00023	-0.0106	0.0349	0.4157	0.1054	0.6350	-0.1179	-0.8956	-0.3576	-1.2689
21-08-2023	10:55:55	00024	-0.0098	0.0284	0.4316	0.1264	0.6332	-0.1614	-0.8986	-0.3025	-1.2088
21-08-2023	10:55:56	00025	-0.0099	-0.0094	0.4707	0.1363	0.6755	-0.1887	-0.8712	-0.3387	-1.2475
21-08-2023	10:55:57	00026	-0.0098	-0.4639	0.4830	0.1577	0.6874	-0.2322	-0.8504	-0.2572	-1.1726
21-08-2023	10:55:58	00027	-0.0088	0.0348	0.4621	0.1564	0.7111	-0.0440	-0.8750	-0.3433	-1.2497
21-08-2023	10:55:59	00028	-0.0099	0.0713	0.4606	0.2276	0.7231	-0.0462	-0.8552	-0.3330	-1.2294
